Time,CognitiveLoadValue,StandardDeviation,DataState
09:42:18,0.5013808,0.1895032,0
09:42:19,0.5146443,0.1917516,0
09:42:20,0.5043542,0.2025774,0
09:42:21,0.2998943,0.2199696,0
09:42:22,0.2876822,0.2290798,0
09:42:23,0.3755525,0.2076236,0
09:42:24,0.3769015,0.2052034,0
09:42:25,0.367373,0.2011666,0
09:42:26,0.380771,0.1936059,0
09:42:27,0.335923,0.1921569,0
09:42:28,0.3307364,0.1916932,0
09:42:29,0.5364832,0.1898161,0
09:42:30,0.541999,0.1785194,0
09:42:31,0.5353802,0.1792784,0
09:42:32,0.5422426,0.1758035,0
09:42:33,0.5505182,0.1752899,0
09:42:34,0.5515105,0.1601723,0
09:42:35,0.5369358,0.1597306,0
09:42:36,0.5488008,0.1643834,0
09:42:37,0.5579195,0.1590876,0
09:42:38,0.5746812,0.1525919,0
09:42:39,0.5635436,0.1515041,0
09:42:40,0.5596553,0.1465387,0
09:42:41,0.537045,0.1572855,0
09:42:42,0.5155243,0.1591165,0
09:42:43,0.5014542,0.1615196,0
09:42:44,0.4851062,0.1580146,0
09:42:45,0.4741592,0.1636753,0
09:42:46,0.4605675,0.08688241,1
09:42:47,0.45742,0.09703869,1
09:42:48,0.4509846,0.1153765,1
09:42:49,0.6383357,0.1243491,1
09:42:50,0.6420614,0.1701439,0
09:42:51,0.6547241,0.1579336,0
09:42:52,0.6562605,0.1681351,0
09:42:53,0.6535437,0.1509767,0
09:42:54,0.6681582,0.1663617,0
09:42:55,0.6766676,0.1689648,0
09:42:56,0.5119285,0.1770861,0
09:42:57,0.2713424,0.1789271,0
09:42:58,0.3199718,0.1872756,0
09:42:59,0.3891539,0.1857791,0
09:43:00,0.414629,0.1777096,0
09:43:01,0.3718345,0.1597899,0
09:43:02,0.4315753,0.1912548,0
09:43:03,0.6402528,0.1975093,0
09:43:04,0.3966766,0.1880538,0
09:43:05,0.6227482,0.1924403,0
09:43:06,0.364071,0.1952866,0
09:43:07,0.6021615,0.1997978,0
09:43:08,0.3651514,0.2016128,0
09:43:09,0.3678331,0.185183,0
09:43:10,0.3520725,0.1774764,0
09:43:11,0.3336522,0.1672171,0
09:43:12,0.2838075,0.1521218,0
09:43:13,0.2889383,0.1719683,0
